id,title,description,category
1,Frontend Developer,"Develop UI using HTML, CSS, JavaScript and React.",Web Development
2,Data Analyst,"Analyze data using SQL, Excel and create dashboards.",Data Analysis
3,Backend Developer,Build server-side logic with Node.js and manage APIs.,Web Development
4,Machine Learning Engineer,Design ML models using Python and scikit-learn.,Machine Learning
5,Full Stack Developer,Work on both frontend and backend using MERN stack.,Web Development
6,Data Scientist,Use Python and machine learning to analyze data.,Machine Learning
7,Cloud Engineer,Manage cloud infrastructure with AWS and Terraform.,Cloud Computing
8,UX Designer,Create user interfaces using Figma and Adobe XD.,UI/UX Design
9,DevOps Engineer,Implement CI/CD pipelines using Jenkins and Docker.,DevOps
10,Cybersecurity Specialist,Secure systems and conduct vulnerability assessments.,Cybersecurity
11,Mobile Developer,Build iOS/Android apps using Swift and Kotlin.,Mobile Development
12,Database Administrator,Optimize SQL databases and ensure data integrity.,Data Management
13,QA Engineer,Develop test plans and automate testing with Selenium.,Quality Assurance
14,Product Manager,Lead product development teams and roadmap planning.,Product Management
15,AI Research Scientist,Develop advanced neural networks using TensorFlow.,Artificial Intelligence
16,Technical Writer,Create documentation for APIs and developer tools.,Documentation
17,Systems Architect,Design enterprise-scale system infrastructure.,Systems Engineering
18,Blockchain Developer,Build smart contracts using Solidity and Ethereum.,Blockchain
19,Game Developer,Create 3D games with Unity and C#.,Game Development
20,SEO Specialist,Optimize websites for search engines using analytics.,Digital Marketing
21,Network Engineer,Configure routers and switches for enterprise networks.,Networking
22,BI Analyst,Develop business intelligence reports with Power BI.,Business Intelligence
23,VR Developer,Create virtual reality experiences using Unreal Engine.,XR Development
24,Embedded Systems Engineer,Program IoT devices with C++ and Raspberry Pi.,Embedded Systems
25,IT Support Specialist,Troubleshoot hardware and software issues.,IT Support
26,Scrum Master,Facilitate Agile development processes and sprints.,Project Management
27,Data Engineer,Build ETL pipelines using Apache Spark and Airflow.,Data Engineering
28,Chief Technology Officer,Define company-wide technical strategy.,Executive
29,Sales Engineer,Provide technical expertise during sales processes.,Technical Sales
